City Name,Cloudiness,Current Temp,Humidity,Latitude,Max Temp,Wind Speed
Guamal,24,87.7,79,9.14,87.7,1.39
Cartai,0,62.6,72,55.82,62.6,1.12
Brcko,0,64.4,63,44.87,64.4,4.7
Sebastian,20,82.45,88,27.82,84.2,16.11
Tufanganj,0,70.69,90,26.48,70.69,3.18
Wattignies,32,61.41,88,50.59,68,3.36
Berveni,0,64.4,68,47.75,64.4,4.7
Turochak,12,39.91,83,52.26,39.91,2.17
Mezhdurechensk,0,40.27,83,53.69,40.27,2.17
Palauig,24,77.08,100,15.44,77.08,2.73
Dobroesti,0,66.18,42,44.45,68,1.12
Provost,0,69.88,26,52.35,69.88,12.57
Brouch,0,63.68,88,49.74,64.4,4.7
Pinhal Novo,20,59.97,82,38.63,60.8,5.82
Kulebaki,0,59.17,45,55.33,59.17,6.98
Markwaldsiedlung,75,69.8,77,50.15,69.8,8.05
Walnut,75,75.11,68,34.02,86,12.75
Matheran,40,87.8,74,18.98,87.8,10.29
Yaizu,76,68.17,100,34.87,68.17,7.2
Comrie,20,60.8,72,56.47,60.8,11.41
Nanae,44,50.62,96,41.88,50.62,2.95
Triandria,20,69.8,60,40.62,69.8,5.82
Vurgun,80,52.15,98,41.09,52.15,2.39
Moorslede,88,61.59,88,50.88,68,3.36
Mazamitla,12,81.85,57,19.92,81.85,1.83
Mendes,20,74.32,73,-22.53,75.2,8.05
Madikeri,100,70.24,99,12.42,70.24,1.39
Hamakita,80,65.56,89,34.8,65.56,4.63
Ixtlan,0,93.19,25,20.18,93.19,2.84
Adamovka,68,37.21,50,51.52,37.21,5.86
Mont-Dore,75,60.8,87,-22.28,60.8,6.53
Nsanje,0,66.01,78,-16.92,66.01,5.75
Podolsk,0,59.52,62,55.42,62.6,6.71
Cocorastii-Misli,0,66.24,55,45.08,68,5.82
Kazlu Ruda,0,64.4,63,54.77,64.4,2.24
Estado do Maranhão,92,84.46,58,-4.88,84.46,4.52
Sarbogard,0,72.4,46,46.89,72.4,10.67
Balaguer,44,57.19,99,41.79,57.19,2.51
Payakumbuh,88,72.67,94,-0.22,72.67,2.17
Guiberoua,92,77.98,80,6.24,77.98,5.75
Atamanovka,0,46.4,75,51.93,46.4,4.47
Las Tejeras,20,80.05,82,14.8,80.05,1.5
Santo Antonio de Padua,12,66.37,71,-21.53,66.37,4.63
Siteki,76,60.7,92,-26.45,60.7,3.62
Viisoara,12,57.55,74,46.38,57.55,2.73
Louviers,0,62.02,82,49.22,62.6,5.82
Dabat,92,56.83,99,12.98,56.83,2.17
Rizia,88,68.44,54,41.62,68.44,7.43
Kerewan,20,73.4,78,13.49,73.4,6.93
Bettiah,44,79.15,74,26.8,79.15,8.66
Pandua,20,82.4,88,23.08,82.4,2.73
Prestice,75,64.4,93,49.57,64.4,4.7
Lacolle,1,76.08,36,45.08,77,4.7
Neckarsulm,75,66.22,82,49.19,69.8,3.36
Novokubansk,24,66.73,39,45.12,66.73,18.28
Bang Khla,20,81.45,78,13.72,82.4,5.82
Kumbalwella,76,80.14,96,6.05,80.14,18.95
Moroceli,40,82.4,58,14.12,82.4,10.29
Montego Bay,40,87.8,70,18.47,87.8,18.34
Felsopakony,0,68.74,73,47.34,69.8,8.05
Friedberg,24,66.67,82,48.35,69.8,4.7
Svrljig,0,69.8,46,43.41,69.8,8.05
Mariano,36,75.82,100,8.83,75.82,5.53
Yamnytsya,0,59,77,48.99,59,2.95
Byron Bay,20,55.4,100,-28.64,55.4,5.82
Chajul,44,70.69,75,15.49,70.69,1.83
Seabra,75,77,65,-12.42,77,4.7
Union,90,82.4,78,10.05,82.4,3.36
Nevelsk,90,50,93,46.67,50,6.71
Khvoynaya,0,64.21,46,58.9,64.21,10
Kakrala,0,80.05,48,27.89,80.05,8.21
Bagn,0,60.25,66,60.82,60.25,1.72
Allapalli,20,88.69,50,19.42,88.69,10.22
Kuznechikha,0,60.7,49,57.22,60.7,15.82
Ambo,56,58.9,64,-10.13,58.9,1.61
Tampakan,56,82.3,100,4.92,82.3,2.84
San Juan del Parana,0,83.32,39,-27.3,84.2,6.93
Naigarhi,0,86.53,39,24.78,86.53,9.22
Valea Mare,0,62.6,59,44.67,62.6,6.93
Spas,0,59,77,48.89,59,2.95
Paddhari,0,81.4,84,22.43,81.4,10
Petrovec,0,62.6,72,41.94,62.6,1.61
Sanpetru Mare,0,66.99,68,46.05,69.8,5.82
Rio Muerto,20,95,11,27.42,95,13.87
Magherani,0,59,67,46.57,59,3.36
Sandviken,20,67.09,62,60.62,67.09,2.39
Kokorevka,0,54.31,57,52.59,54.31,6.98
Sagna,0,67.08,46,46.98,69.8,4.7
Ajnala,24,91.62,38,31.84,93.2,5.82
Anau,0,81.67,99,-16.52,81.67,14.03
Epalinges,75,62.65,68,46.55,69.8,1.12
Vrachnaiika,20,70.65,78,38.17,71.6,2.17
Boardman,40,89.6,38,41.02,91.4,4.7
Lyubotyn,0,55.4,54,49.95,55.4,6.71
Jardanhaza,0,60.79,86,48.15,60.79,2.17
Bileca,0,72,57,42.87,75.2,2.24
Annaka,64,58.27,88,36.32,58.27,2.17
Trinidad,0,83.26,35,-27.12,84.2,11.41
Clearwater,40,82.15,74,27.97,82.4,9.17
Kamra,48,63.31,65,33.75,63.31,2.17
Belen Gualcho,48,75.37,81,14.48,75.37,2.62
Basugaon,12,72.67,84,26.47,72.67,5.86
Belton,40,90.64,38,38.81,93.2,5.82
Catayuan,8,74.92,90,18.16,74.92,2.73
Miklavz na Dravskem Polju,20,66.18,88,46.51,69.8,5.82
Gazli,8,56.74,36,40.13,56.74,4.97
Bouillenne,20,65.97,88,50.62,69.8,6.93
Kharopon,12,58.54,76,41.27,58.54,2.62
Rosales,12,73.84,95,15.88,73.84,1.72
Shiozawa,92,64.39,90,37.03,64.39,2.39
Fosforitnyy,0,59,54,55.33,59,6.71
San Andres del Rabanedo,56,52.24,96,42.61,52.24,5.19
Keti Bandar,0,86.71,92,24.14,86.71,24.32
Pismo Beach,20,72.82,60,35.14,93.2,3.62
Stornoway,20,59,82,58.22,59,3.36
Raymond,20,86.2,21,43.04,89.6,11.41
Anjad,0,83.11,59,22.03,83.11,8.43
Topeka,1,93.2,36,39.05,93.2,16.11
Vilanova del Cami,0,67.96,64,41.57,69.8,6.93
Gekhi,92,55.84,76,43.16,55.84,6.53
Zarand,0,65.65,28,30.81,65.65,4.18
Troitskoye-Kaynardzhi,0,59.47,54,55.74,62.6,6.71
Doraville,90,79.09,83,33.9,84.2,16.11
Vozdvizhenka,75,53.6,100,43.9,53.6,6.2
Solone,0,60.94,44,48.21,62.6,11.18
Kansk,0,48.37,70,56.2,48.37,7.54
Iedera de Jos,0,66.22,55,45.03,68,5.82
Conway,90,81.16,88,28.5,87.8,10.29
Miravci,12,58,76,41.31,58,2.17
Pehowa,32,85.72,35,29.98,85.72,10.22
Magay,90,82.4,78,10.47,82.4,3.36
Saint-André-lez-Lille,32,61.45,88,50.66,68,3.36
Hamilton,1,86.67,52,39.4,89.6,16.11
Kirchheim unter Teck,0,65.39,82,48.65,66.2,2.24
Campbell River,20,59.52,36,50.02,60.8,14.99
Tomar,75,59,87,39.6,59,6.93
Benoni,0,48.2,93,-26.19,48.2,4.7
San Alberto,0,80.6,42,-24.97,80.6,11.41
Ndago,0,64.75,63,-4.6,64.75,7.76
Prinza,75,84.2,74,14,84.2,5.82
Akkarampalle,0,74.47,83,13.65,74.47,2.51
Santa Maria,56,82.39,87,8.12,82.39,6.76
Ode,12,75.82,86,7.79,75.82,9.1
Kalas,8,80.14,73,18.17,80.14,12.01
Yangchun,56,71.68,97,22.17,71.68,2.17
Veresföld,0,64.4,59,48.4,64.4,9.17
Estanzuela,0,85.36,67,15,85.36,2.39
Studënyy,88,39.01,85,57.68,39.01,4.74
Taganrog,0,60.97,26,47.24,60.97,13.24
Havant,75,61.05,87,50.85,64.4,9.17
Gudivada,8,84.82,86,16.45,84.82,8.77
Paskov,0,59,100,49.73,59,2.24
Hailin,44,48.37,92,44.58,48.37,2.51
Amaraji d’Água,75,78.8,78,-8.4,78.8,16.11
Frogner,0,66.91,63,60.03,66.91,1.95
Cassino,40,77,88,41.5,77,2.84
Pleasant Grove,90,76.64,94,33.49,78.8,13.87
Marshall,1,92.91,41,32.54,93.2,3.4
Agbanawag,36,74.02,90,17.37,74.02,1.28
Buan,64,83.74,100,5.16,83.74,4.41
Bellmore,1,82.44,69,40.67,89.6,9.17
Pfullingen,0,65.37,82,48.45,66.2,2.24
Lander,90,53.62,76,42.83,57.2,16.11
Lagoa Formosa,8,65.56,58,-18.78,65.56,6.31
Brastavatu,0,62.6,59,43.92,62.6,6.93
Magliman,40,82.49,78,15.03,84.2,2.24
Carrick-on-Suir,0,62.59,69,52.35,62.59,10.89
Tupik,20,57.46,64,54.43,57.46,4.97
Gama,75,74.61,72,4.76,84.2,11.41
Ivanovka,0,50.71,55,51.12,50.71,5.19
Alizai,0,57.01,36,33.54,57.01,4.41
Loiza,40,84.2,74,18.43,84.2,20.8
Olawa,0,64.4,72,50.94,64.4,10.29
Cobourg,1,79.93,39,43.97,82.4,5.82
Fiesole,20,60.44,60,43.8,75.2,5.82
Kingswood,75,62.91,100,51.45,64.4,11.41
Needamangalam,8,84.1,64,10.77,84.1,14.03
Rusne,0,66.2,88,55.3,66.2,2.24
Affoltern am Albis,0,64.36,72,47.28,68,3.36
Palma del Rio,68,63.16,63,37.7,64.4,12.75
Leninskiy,0,57.01,52,54.29,57.01,11.23
Xuchang,0,66.2,55,34.02,66.2,4.47
Pandavapura,64,69.43,97,12.5,69.43,5.41
Tizapan el Alto,5,89.6,25,20.17,89.6,4.7
Korneuburg,0,70.97,60,48.35,71.6,11.41
Sassuolo,75,59.86,88,44.55,69.8,5.82
Gursu,75,64.4,88,40.22,64.4,3.36
Lapuan,88,72.22,100,6.14,72.22,2.73
Maki,92,65.29,89,37.75,65.29,3.51
Laishevo,0,59,58,55.4,59,11.18
Libano,40,84.2,62,4.92,84.2,6.93
Bishnupur,20,82.4,88,22.38,82.4,2.95
Poian,8,53.95,63,46.07,53.95,1.72
Mtsensk,0,55.84,56,53.28,55.84,9.89
Lourdes,68,80.05,90,13.39,80.05,4.29
Caliling,20,82.39,100,9.98,82.39,8.77
Rehau,20,65.32,87,50.25,69.8,8.05
Metabetchouan–Lac-a-la-Croix,20,63.48,43,48.4,64.4,5.82
Byurakan,75,54.88,93,40.34,60.8,4.7
Valverde del Camino,48,61.15,60,37.58,61.15,5.64
São Félix,92,66.37,91,-13.63,66.37,6.76
Shemonaikha,32,51.97,62,50.63,51.97,8.1
Royal Leamington Spa,90,60.21,87,52.3,60.8,13.87
Dobresti,0,58.36,56,44.97,58.36,5.86
Kalamos,20,72.5,46,38.3,73.4,3.36
El Tablon,40,86.59,58,14.03,89.6,10.29
Haputale,44,75.64,87,6.77,75.64,11.68
Xixiang,0,54.13,71,35.16,54.13,3.06
Lunca de Sus,0,52.24,65,46.53,52.24,2.39
Saint-Pierre-du-Perray,20,62.6,88,48.61,64.4,8.05
Satu Mare,0,64.4,68,47.8,64.4,4.7
Gardez,0,36.31,57,33.6,36.31,2.62
Toong,75,84.2,74,14.07,84.2,5.82
Buba,0,80.6,69,11.77,80.6,11.41
Bacabac,40,80.6,78,15.73,80.6,2.24
Roselle,40,87.19,45,40.66,91.4,8.05
Natchitoches,1,93.07,39,31.76,95,8.05
Huanshi,0,82.4,69,23.03,82.4,2.24
Usman,0,48.2,70,52.05,48.2,4.47
Hanahan,75,83.3,78,32.92,84.2,10.29
Pawican,76,84.55,97,12.07,84.55,12.91
Belford Roxo,20,74.28,64,-22.76,75.2,9.17
Levashovo,0,62.6,48,60.1,62.6,8.95
Hanmer Springs,0,20.29,89,-42.52,20.29,2.17
Malanville,8,83.47,64,11.86,83.47,4.97
Halasztelek,0,69.8,73,47.36,69.8,8.05
Foindu,80,77.71,89,7.41,77.71,3.4
Steeghoven,90,66.4,100,51.35,69.8,3.36
Luxeuil-les-Bains,24,62.6,88,47.82,62.6,5.82
Malabanban Norte,12,78.52,92,13.93,78.52,4.18
Gardami,0,65.92,57,49.44,65.92,6.76
Placido de Castro,0,87.61,56,-10.33,87.61,2.17
Fram,0,83.28,35,-26.98,84.2,11.41
Udomlya,0,64.93,41,57.88,64.93,13.24
Janoshida,0,68.59,68,47.38,69.8,2.24
Tatsuno,100,63.13,98,34.87,63.13,5.08
Urdaneta,24,70.24,94,15.98,70.24,2.73
Kozlovka,0,48.91,60,50.86,48.91,4.63
Vaulx-en-Velin,0,64.71,60,45.78,69.8,6.93
Ceanu Mare,0,62.73,67,46.67,68,6.98
Tambau,0,77,25,-21.7,77,2.24
Ramnicu Sarat,24,58.45,64,45.38,58.45,1.83
Thornton,0,59.36,87,56.17,62.6,5.82
Francheville,0,64.74,60,45.74,69.8,6.93
Kheri,0,77.35,70,27.9,77.35,5.97
Schwelm,8,67.1,88,51.28,68,8.05
Malinaw,36,75.82,100,8.82,75.82,5.53
Leon,56,52.24,96,42.6,52.24,5.19
Salatig,0,64.4,68,47.37,64.4,4.7
Karksi-Nuia,0,67.72,42,58.1,67.72,12.01
Hostinne,0,68,68,50.54,68,9.17
Mundra,0,84.82,85,22.85,84.82,13.47
Cidreira,8,68.35,80,-30.18,68.35,6.76
Castleisland,20,71.6,56,52.23,71.6,6.93
Melenki,0,57.82,46,55.33,57.82,12.46
Sortavala,76,69.43,32,61.71,69.43,23.2
Aljojuca,0,82.21,17,19.1,82.21,14.25
Hueytamalco,5,91.4,59,19.95,91.4,6.93
San Pablo Autopan,40,84.56,9,19.36,86,16.11
Matinha,92,80.23,85,-3.1,80.23,5.75
Marinilla,40,76.23,53,6.17,78.8,13.87
Miedzyrzecz,0,68,52,52.45,68,5.82
Lichfield,90,62.28,87,52.68,66.2,13.87
Tongeren,20,65.73,88,50.78,69.8,6.93
Villanueva,75,98.6,44,15.32,98.6,3.36
Coronel,20,57.2,67,-37.02,57.2,10.29
Cerro Cama,40,83.25,74,9.03,84.2,8.05
Borod,0,64.4,72,46.98,64.4,4.7
Klaksvik,8,48.2,87,62.23,48.2,17.22
Vernon,20,69.8,28,50.27,69.8,9.17
Greenfield,1,85.78,31,42.59,87.8,5.82
Sablan,24,70.24,94,16.49,70.24,2.73
La Riviera,1,91.06,23,38.57,93.2,4.7
Satis,0,57.37,49,55.02,57.37,9.78
Ugljevik,0,64.4,63,44.66,64.4,4.7
Muirkirk,20,59.5,67,55.52,62.6,6.93
Oksfjord,90,43.48,100,70.24,46.4,12.75
Camargo,20,96.64,39,26.25,98.6,12.75
